Designator,Mid X,Mid Y,Rotation,Layer
U31,-222.8905,-90.2208,180.0,top
U32,-222.8905,-97.536,180.0,top
U33,-215.5753,12.192,180.0,top
U34,-215.5753,4.8768,180.0,top
U35,-215.5753,-2.4384,180.0,top
U36,-215.5753,-9.7536,180.0,top
U37,-215.5753,-17.0688,180.0,top
U38,-215.5753,-24.384,180.0,top
U39,-215.5753,-31.6992,180.0,top
U4,-230.2057,-9.7536,180.0,top
U40,-215.5753,-39.0144,180.0,top
U41,-215.5753,-46.3296,180.0,top
U42,-215.5753,-53.6448,180.0,top
U43,-215.5753,-60.96,180.0,top
U44,-215.5753,-68.2752,180.0,top
U45,-215.5753,-75.5904,180.0,top
U46,-215.5753,-82.9056,180.0,top
U47,-215.5753,-90.2208,180.0,top
U48,-215.5753,-97.536,180.0,top
U49,-208.2601,12.192,180.0,top
U5,-230.2057,-17.0688,180.0,top
U50,-208.2601,4.8768,180.0,top
U51,-208.2601,-2.4384,180.0,top
U52,-208.2601,-9.7536,180.0,top
U53,-208.2601,-17.0688,180.0,top
U54,-208.2601,-24.384,180.0,top
U55,-208.2601,-31.6992,180.0,top
U56,-208.2601,-39.0144,180.0,top
U57,-208.2601,-46.3296,180.0,top
U58,-208.2601,-53.6448,180.0,top
U59,-208.2601,-60.96,180.0,top
U6,-230.2057,-24.384,180.0,top
U60,-208.2601,-68.2752,180.0,top
U61,-208.2601,-75.5904,180.0,top
U62,-208.2601,-82.9056,180.0,top
U63,-208.2601,-90.2208,180.0,top
U64,-208.2601,-97.536,180.0,top
U65,-200.9449,12.192,180.0,top
U66,-200.9449,4.8768,180.0,top
U67,-200.9449,-2.4384,180.0,top
U68,-200.9449,-9.7536,180.0,top
U69,-200.9449,-17.0688,180.0,top
U7,-230.2057,-31.6992,180.0,top
U70,-200.9449,-24.384,180.0,top
U71,-200.9449,-31.6992,180.0,top
U72,-200.9449,-39.0144,180.0,top
U73,-200.9449,-46.3296,180.0,top
U74,-200.9449,-53.6448,180.0,top
U75,-200.9449,-60.96,180.0,top
U76,-200.9449,-68.2752,180.0,top
U77,-200.9449,-75.5904,180.0,top
U78,-200.9449,-82.9056,180.0,top
U79,-200.9449,-90.2208,180.0,top
U8,-230.2057,-39.0144,180.0,top
U80,-200.9449,-97.536,180.0,top
U81,-193.6297,12.192,180.0,top
U82,-193.6297,4.8768,180.0,top
U83,-193.6297,-2.4384,180.0,top
U84,-193.6297,-9.7536,180.0,top
U85,-193.6297,-17.0688,180.0,top
U86,-193.6297,-24.384,180.0,top
U87,-193.6297,-31.6992,180.0,top
U88,-193.6297,-39.0144,180.0,top
U89,-193.6297,-46.3296,180.0,top
U9,-230.2057,-46.3296,180.0,top
U90,-193.6297,-53.6448,180.0,top
U91,-193.6297,-60.96,180.0,top
U92,-193.6297,-68.2752,180.0,top
U93,-193.6297,-75.5904,180.0,top
U94,-193.6297,-82.9056,180.0,top
U95,-193.6297,-90.2208,180.0,top
U96,-193.6297,-97.536,180.0,top
U97,-186.3145,12.192,180.0,top
U98,-186.3145,4.8768,180.0,top
U99,-186.3145,-2.4384,180.0,top
